Country,Requirement,Funding,Date,Percent Funded
Niger,74138650,11281885,2016-02-29,0.1521727870685533
Niger,74138650,11281885,2016-03-21,0.1521727870685533
Niger,74138650,12177511,2016-04-06,0.16425320666076332
Niger,74138650,23101484,2016-07-11,0.3115983903132846
Niger,74138650,27591300,2016-08-23,0.37215811186203146
Niger,74138650,27788022,2016-09-05,0.3748115456647781
Niger,71561559,27924316,2016-10-03,0.39021391359011615
Niger,71561559,30756464,2016-10-19,0.4297903012425987
Niger,71561559,30756464,2016-11-01,0.4297903012425987
Niger,71561559,32492785,2016-12-08,0.4540536211627251
Niger,71561559,32652021,2016-12-19,0.4562787822998658
Niger,139310848,0,2017-01-11,0.0
