Country,Requirement,Funding,Date,Percent Funded
Nigeria,279299527,12176332,2016-02-29,0.043595963554925746
Nigeria,279299527,13937987,2016-03-21,0.04990336772034705
Nigeria,279299527,21390796,2016-04-06,0.07658729762188247
Nigeria,279299527,68845010,2016-07-11,0.24649168131244276
Nigeria,225988518,73544092,2016-08-23,0.325432870000944
Nigeria,279299527,95804727,2016-09-05,0.34301786339938917
Nigeria,484179598,116221255,2016-10-03,0.24003748914674428
Nigeria,484179598,177236127,2016-10-19,0.36605451310238807
Nigeria,484179598,180564895,2016-11-01,0.3729295818036513
Nigeria,484179598,249376400,2016-12-08,0.5150493763679815
Nigeria,484179598,252494674,2016-12-19,0.5214897014309967
Nigeria,1054431494,0,2017-01-11,0.0
