Donor organization,Funding US$,Pledges US$,Country
Central Emergency Response Fund,10058848,0,Niger
"Denmark, Government of",284398,0,Niger
European Commission,5004025,0,Niger
European Commission's Humanitarian Aid and Civil Protection Department,12317747,0,Niger
"France, Government of",364513,0,Niger
"Germany, Government of",226757,0,Niger
"Italy, Government of",1000000,0,Niger
"Japan, Government of",5131000,0,Niger
"Niger, Government of",4379442,0,Niger
Not specified,9278754,0,Niger
"Switzerland, Government of",986193,0,Niger
UN Peacebuilding Fund,326390,0,Niger
"United States of America, Government of",35174964,0,Niger
World Food Programme,2247000,0,Niger
Central Emergency Response Fund,10000000,0,Cameroon
European Commission's Humanitarian Aid and Civil Protection Department,640342,0,Cameroon
"Germany, Government of",7284296,0,Cameroon
"Korea, Republic of, Government of",2000000,0,Cameroon
Not specified,67684,0,Cameroon
Private (individuals & organizations),376,0,Cameroon
"United Kingdom, Government of",9882448,0,Cameroon
"United States of America, Government of",6000000,0,Cameroon
World Food Programme,15187916,0,Cameroon
Central Emergency Response Fund,22000000,0,Nigeria
"Denmark, Government of",142653,0,Nigeria
European Commission's Humanitarian Aid and Civil Protection Department,2916224,0,Nigeria
"Germany, Government of",1020408,0,Nigeria
"Japan, Government of",1903000,0,Nigeria
"Malta, Government of",10672,0,Nigeria
Not specified,9134,0,Nigeria
"Sweden, Government of",1161116,0,Nigeria
"Switzerland, Government of",4426614,0,Nigeria
UNICEF National Committee/Canada,91559,0,Nigeria
UNICEF National Committee/Germany,106724,0,Nigeria
"United Kingdom, Government of",1255154,0,Nigeria
"United States of America, Government of",22700048,0,Nigeria
World Food Programme,3579971,0,Nigeria
European Commission's Humanitarian Aid and Civil Protection Department,261506,0,Chad
"Malta, Government of",10672,0,Chad
Private (individuals & organizations),2124552,0,Chad
