Country,Requirement,Funding,Date,Percent Funded
Chad ,85289310,5537345,2016-02-29,0.0649242560409974
Chad ,85289310,6385169,2016-03-21,0.07486482186337302
Chad ,85289310,6595065,2016-04-06,0.07732581023342784
Chad ,85289310,13734392,2016-07-11,0.16103298291427143
Chad ,82756530,14226305,2016-08-23,0.17190552818007232
Chad ,88339142,14226305,2016-09-05,0.1610419195604141
Chad ,98205277,42452935,2016-10-03,0.43228771708469393
Chad ,98205277,42555742,2016-10-19,0.4333345752896761
Chad ,98205277,42555742,2016-11-01,0.4333345752896761
Chad ,98205277,44915176,2016-12-08,0.4573601070337595
Chad ,98205277,54276412,2016-12-19,0.5526832534671228
Chad ,121261684,0,2017-01-11,0.0
