Country,Requirement,Funding,Date,Percent Funded
Cameroon,119880723,4783662,2016-02-29,0.039903513094428036
Chad,85289310,5537345,2016-02-29,0.0649242560409974
Niger,74138650,11281885,2016-02-29,0.1521727870685533
Nigeria,279299527,12176332,2016-02-29,0.04359596355492575
Cameroon,119880723,11126361,2016-03-21,0.09281192773587127
Chad,85289310,6385169,2016-03-21,0.07486482186337302
Niger,74138650,11281885,2016-03-21,0.1521727870685533
Nigeria,279299527,13937987,2016-03-21,0.04990336772034705
Cameroon,119880723,12086479,2016-04-06,0.10082087175934032
Chad,85289310,6595065,2016-04-06,0.07732581023342784
Niger,74138650,12177511,2016-04-06,0.16425320666076332
Nigeria,279299527,21390796,2016-04-06,0.07658729762188247
Cameroon,119880723,19624670,2016-07-11,0.16370163199633025
Chad,85289310,13734392,2016-07-11,0.16103298291427146
Niger,74138650,23101484,2016-07-11,0.3115983903132846
Nigeria,279299527,68845010,2016-07-11,0.2464916813124428
Cameroon,119880723,24348848,2016-08-23,0.20310895188711867
Chad,82756530,14226305,2016-08-23,0.17190552818007232
Niger,74138650,27591300,2016-08-23,0.37215811186203146
Nigeria,225988518,73544092,2016-08-23,0.32543287000094395
Cameroon,119880723,25123457,2016-09-05,0.20957044945416287
Chad,88339142,14226305,2016-09-05,0.1610419195604141
Niger,74138650,27788022,2016-09-05,0.3748115456647781
Nigeria,279299527,95804727,2016-09-05,0.3430178633993892
Cameroon,85023404,30507846,2016-10-03,0.3588170381886851
Chad,98205277,42452935,2016-10-03,0.4322877170846939
Niger,71561559,27924316,2016-10-03,0.39021391359011615
Nigeria,484179598,116221255,2016-10-03,0.2400374891467443
Cameroon,85023404,32039096,2016-10-19,0.3768267852460953
Chad,98205277,42555742,2016-10-19,0.4333345752896761
Niger,71561559,30756464,2016-10-19,0.4297903012425987
Nigeria,484179598,177236127,2016-10-19,0.3660545131023881
Cameroon,85023404,32880637,2016-11-01,0.3867245423389541
Chad,98205277,42555742,2016-11-01,0.4333345752896761
Niger,71561559,30756464,2016-11-01,0.4297903012425987
Nigeria,484179598,180564895,2016-11-01,0.3729295818036513
Cameroon,85023404,36088116,2016-12-08,0.42444920224553706
Chad,98205277,44915176,2016-12-08,0.4573601070337595
Niger,71561559,32492785,2016-12-08,0.4540536211627251
Nigeria,484179598,249376400,2016-12-08,0.5150493763679815
Cameroon,85023404,38531381,2016-12-19,0.4531855840540094
Chad,98205277,54276412,2016-12-19,0.5526832534671228
Niger,71561559,32652021,2016-12-19,0.4562787822998658
Nigeria,484179598,252494674,2016-12-19,0.5214897014309967
Cameroon,191437412,0,2017-01-11,0.0
Chad,121261684,0,2017-01-11,0.0
Niger,139310848,0,2017-01-11,0.0
Nigeria,1054431494,0,2017-01-11,0.0
