SURVEY ROUND,SITE ID,SITE NAME,STATE,LGA,WARD,STATUS,LATITUDE,LONGITUDE,SITE MANAGEMENT AGENCY (SMA),SMA TYPE,REGISTRATION ACTIVITY,SUPPORT WASH,SUPPORT HEALTH,SUPPORT SHELTER/NFI,SUPPORT FOOD,SUPPORT PROTECTION,SUPPORT EDUCATION,SUPPORT LIVELIHOOD,SITE CLASSIFICATION,SITE TYPE,LAND OWNERSHIP,COMMON SHELTER TYPE,NO OF HOUSEHOLDS,INFANTS MALE,INFANTS FEMALE,CHILDREN MALE,CHILDREN FEMALE,YOUTH MALE,YOUTH FEMALE,ADULT MALE,ADULT FEMALE,ELDERLY MALE,ELDERLY FEMALE,TOTAL NUMBER OF IDPS,PREVIOUSLY BEEN DISPLACED,INTENDED RETURN AREA,WHY NOT RETURN,NO SHELTER,TENTS,MAKESHIFT,INDOORS,ACCESS ELECTRICITY,ACCESS SAFE COOKING,HAVE PRIVATE AREAS,HAVE MOSQUITO NETS,MOST NEEDED NFI,WATER SOURCE LOCATION,DRINKING WATER SOURCE,WATER CONSUMPTION,DRINKING WATER POTABLE,DRINKING WATER QUALITY COMPLAINTS,LATRINE CONDITION,FUNCTIONING TOILET,GARBAGE DISPOSAL,SOLID WASTE PROBLEM,HAND WASHING STATIONS,HYGIENE PROMOTION CAMPAIGN,OPEN DEFECATION,ACCESS TO FOOD,ACCESS TO MARKET,DISTRIBUTION FREQUENCY,OBTAINING FOOD,MALNUTRITION SCREENING,MOST PREVALENT HEALTH PROBLEM,ACCESS TO MEDICINE,ACCESS TO HEALTH FACILITY,LOCATION HEALTH FACILITY,HEALTH FACILITIES PROVIDER,ACCESS TO EDUCATION,EDUCATION LOCATION,ATTENDING SCHOOL,MAJORITY OCCUPATION,ACCESS TO INCOME,LIVESTOCK,CULTIVATION,SOURCE OF INFORMATION FOR MOST RESIDENTS,MAIN TOPIC IDP'S ARE REQUESTING INFORMATION,SERIOUS PROBLEM DUE TO LACK OF INFORMATION
14,AD_S019,FUFORE CAMP,ADAMAWA,FUFORE,FUFORE,FORMAL,9.20809,12.67762,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Private Building,School,357,75,102,198,212,225,271,389,288,10,8,1778,Yes,Place of origin,Lack of safety,None,<75%,<25%,<50%,None,<25%,<25%,>75%,Bucket/Jerry Can,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),65,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Petty trade,Yes,No,No,Site Management,Situation in areas of origin,Yes
14,AD_S031,WURO AHI,ADAMAWA,FUFORE,FUFORE,INFORMAL,9.21716,12.66234,No,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,29,1,1,14,19,18,30,35,36,0,0,154,Yes,Place of origin,House damaged/destroyed,None,None,<50%,<75%,<25%,<25%,<25%,<75%,Kitchen sets,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),4,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,No,Yes,Mobile phone,Situation in areas of origin,Yes
14,AD_S006,DAWARE CAMP,ADAMAWA,FUFORE,PARIYA,INFORMAL,9.41843,12.59737,No,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Bunk houses,263,53,51,91,75,254,263,186,208,18,7,1206,Yes,Place of origin,House damaged/destroyed,None,None,<75%,<50%,None,<25%,<25%,>75%,Plastic sheeting,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),42,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,AD_S033,ANGUWAN MUMUYAWA,ADAMAWA,FUFORE,PARIYA,INFORMAL,9.4227,12.59541,No,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Private Building,Bunk houses,59,2,3,28,35,61,72,76,86,1,3,367,Yes,Place of origin,House damaged/destroyed,None,None,>75%,<50%,<25%,<25%,<25%,>75%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),2,Burning,Yes,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,Yes,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,AD_S001,NYSC CAMP ADAMAWA,ADAMAWA,GIREI,DAMARE,FORMAL,9.31849,12.44748,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Government building,476,38,52,247,236,485,479,261,397,111,105,2411,Yes,Place of origin,House damaged/destroyed,None,<25%,None,<75%,>75%,>75%,<75%,<75%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Good (Hygienic),125,Garbage pit,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<75%,Petty trade,Yes,Yes,Yes,Site Management,Situation in areas of origin,No
14,AD_S035,WADAI,ADAMAWA,GIREI,DAMARE,INFORMAL,9.30612,12.48461,No,NULL,Yes,No,No,No,Yes,No,Yes,No,Spontaneous,Collective Settlement/Centre,Private Building,Self-made tents,12,1,0,3,7,4,8,2,7,3,2,37,No,Place of origin,House damaged/destroyed,None,<25%,<75%,None,None,<50%,<25%,<25%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),0,No waste disposal system,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malnutrition,No,Yes,Off-site (<3 km),Local clinic,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,No
14,AD_S037,CHEKAMIDERI,ADAMAWA,GIREI,GIREI  II,INFORMAL,9.37358,12.55782,No,NULL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,Community center,57,7,10,25,35,37,39,31,44,0,9,237,No,Place of origin,House damaged/destroyed,None,None,<25%,<75%,<25%,<75%,None,<50%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),3,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Situation in areas of origin,No
14,AD_S038,LOWCOST QUARTERS,ADAMAWA,GIREI,GIREI  II,INFORMAL,9.36791,12.5525,No,NULL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,10,1,2,10,12,6,10,9,8,0,1,59,Yes,Place of origin,House damaged/destroyed,<25%,<50%,<50%,<75%,<50%,None,None,<25%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),5,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,No
14,AD_S032,SEGERE DUTSE,ADAMAWA,GIREI,GIREI I,INFORMAL,9.33937,12.51707,No,NULL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Community center,27,1,4,12,16,3,5,15,29,2,2,89,Yes,Place of origin,House damaged/destroyed,None,None,<50%,<50%,<25%,<50%,None,<25%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),2,No waste disposal system,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Radio/news,Safety and Security,No
14,AD_S034,NANA VILLA,ADAMAWA,GIREI,GIREI I,INFORMAL,9.35204,12.51312,No,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Community center,14,3,4,6,2,11,11,6,13,3,3,62,Yes,Place of origin,Lack of safety,None,None,<50%,<75%,None,<50%,<50%,<25%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),0,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,No,Yes,Families/Friends,Safety and Security,No
