Category,Requirement 2016,Funded 2016,Percent Funded 2016,Requirement 2017
CAMP COORDINATION AND MANAGEMENT,12358500,11205210,0.91,11560000
COORDINATION,19832865,25688225,1.30,31193662
EARLY RECOVERY,26361765,0,0,44553589
EDUCATION,23598454,4322053,0.18,56339244
EMERGENCY SHELTER AND NFI,53743197,17227848,0.32,70332436
EMERGENCY TELECOMMUNICATIONS,,,,5846761
FOOD SECURITY,157635957,69757654,0.44,480260433
HEALTH,53143622,11760001,0.22,93827598
LOGISTICS,,,,12238706
NUTRITION,33216948,22017823,0.66,112595211
PROTECTION,55885268,6959241,0.12,88274151
WATER AND SANITATION,48403022,7059788,0.15,49736246
NOT SPECIFIED,0,77997897,,
GRAND TOTAL,484179598,254158378,0.52,1056758037
