state_code,state_name,lga_code,lga_name,ward_code,ward_name,estimate_hh_Ward,estimate_Ind_Ward,SSID,SITE NAME,location_type,Year,idp_category,majority_stateoforigin,state_orig,majority_lgaoforigin,lga_orig,reason_insurgency_YesNo,reason_insurg_hh,reason_insurg_ind,reason_clash_YesNo,reason_clash_hh,reason_clash_ind,reason_disaster_YesNo,reason_disaster_hh,reason_disaster_ind,reason_others_YesNo,reason_others_hh,reason_others_ind
AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,357,1778,AD_S019,FUFORE CAMP,Camp,,1,BO,BORNO,BO03,BAMA,,,,,,,,,,,,
AD,ADAMAWA,AD02,FUFORE,AD0203,FUFORE,29,154,AD_S031,WURO AHI,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,263,1206,AD_S006,DAWARE CAMP,Camp,,1,BO,BORNO,BO11,GWOZA,,,,,,,,,,,,
AD,ADAMAWA,AD02,FUFORE,AD0207,PARIYA,59,367,AD_S033,ANGUWAN MUMUYAWA,Camp,,1,BO,BORNO,BO11,GWOZA,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,476,2411,AD_S001,NYSC CAMP ADAMAWA,Camp,,1,BO,BORNO,BO11,GWOZA,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0402,DAMARE,12,37,AD_S035,WADAI,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0404,GIREI  II,57,237,AD_S037,CHEKAMIDERI,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0404,GIREI  II,10,59,AD_S038,LOWCOST QUARTERS,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0403,GIREI I,27,89,AD_S032,SEGERE DUTSE,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0403,GIREI I,14,62,AD_S034,NANA VILLA,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0403,GIREI I,20,138,AD_S036,UNGWAN ABUJA,Camp,,1,AD,ADAMAWA,AD10,MADAGALI,,,,,,,,,,,,
AD,ADAMAWA,AD04,GIREI,AD0408,MODIRE/ VINIKILANG,15,62,AD_S005,EYN CHURCH VINIKILANG,Camp,,1,BO,BORNO,BO11,GWOZA,,,,,,,,,,,,
AD,ADAMAWA,AD18,SONG,AD1808,SONG GARI,62,110,AD_S018,SHAGARI QUARTERS CAMP,Camp,,1,AD,ADAMAWA,AD13,MICHIKA,,,,,,,,,,,,
