Country,ReportedLocation,Period,TotalTotal,DisplType
Chad,Lac,2015-02-28,13380.0,idp
Chad,Lac,2015-04-30,13380.0,idp
Chad,Lac,2015-06-30,14168.0,idp
Chad,Lac,2015-08-31,51387.0,idp
Chad,Lac,2015-10-31,51387.0,idp
Chad,Lac,2015-12-31,36157.0,idp
Chad,Lac,2016-02-29,43761.0,idp
Chad,Lac,2016-04-30,89844.0,idp
Chad,Lac,2016-06-30,102575.0,idp
Chad,Lac,2016-08-31,107129.0,idp
Chad,Lac,2015-02-28,,refugee
Chad,Lac,2015-04-30,18502.0,refugee
Chad,Lac,2015-06-30,13384.0,refugee
Chad,Lac,2015-08-31,13742.0,refugee
Chad,Lac,2015-10-31,13742.0,refugee
Chad,Lac,2015-12-31,13742.0,refugee
Chad,Lac,2016-02-29,13742.0,refugee
Chad,Lac,2016-04-30,13742.0,refugee
Chad,Lac,2016-06-30,13742.0,refugee
Chad,Lac,2016-08-31,13742.0,refugee
Chad,Mayo-Kebbi Est,2015-02-28,,refugee
Chad,Mayo-Kebbi Est,2015-04-30,1080.0,refugee
Chad,Mayo-Kebbi Est,2015-06-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-08-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-10-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-12-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-02-29,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-04-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-06-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-08-31,1334.0,refugee
