Country,ReportedLocation,Period,TotalTotal,DisplType
Niger,Diffa,2015-02-28,,idp
Niger,Diffa,2015-04-30,,idp
Niger,Diffa,2015-06-30,66402.0,idp
Niger,Diffa,2015-08-31,66402.0,idp
Niger,Diffa,2015-10-31,46988.0,idp
Niger,Diffa,2015-12-31,46988.0,idp
Niger,Diffa,2016-02-29,58926.0,idp
Niger,Diffa,2016-04-30,58926.0,idp
Niger,Diffa,2016-06-30,127208.0,idp
Niger,Diffa,2016-08-31,167208.0,idp
Niger,Diffa,2015-02-28,63941.0,refugee
Niger,Diffa,2015-04-30,63941.0,refugee
Niger,Diffa,2015-06-30,63941.0,refugee
Niger,Diffa,2015-08-31,63941.0,refugee
Niger,Diffa,2015-10-31,94152.0,refugee
Niger,Diffa,2015-12-31,93343.0,refugee
Niger,Diffa,2016-02-29,97744.0,refugee
Niger,Diffa,2016-04-30,97744.0,refugee
Niger,Diffa,2016-06-30,82524.0,refugee
Niger,Diffa,2016-08-31,82524.0,refugee
