#{"source_date": "Unknown", "extract_date": "2017-03-28", "update_frequency": "Every month", "source_key": "HDX", "source_url": "http://data.humdata.org/dataset/004daf8f-2f9e-417a-92ee-9e2187d2da7e/resource/2ad318c8-e4a0-4626-a7be-8c4a10c5daad/download/LCB_SnapShot_DataSets_24Jan17.xlsx---Incidents_By_Loc_Map.csv"}
Month #,Month,date,ADMIN1,ADMIN2,LOCATION,LATITUDE  ,LONGITUDE  
#date+month,#date+month,#date,#adm1,#adm2,#loc,#geo+lat,#geo+lng
1,Jan,2016-01-01,Adamawa,Gombi,Gombi,10.161385,12.739904
1,Jan,2016-01-01,,Madagali,Madagali,10.886389,13.63
1,Jan,2016-01-01,Borno,Chibok,Chibok,10.86583,12.847017
1,Jan,2016-01-01,,Gwoza,Gwoza,11.103593,13.712983
1,Jan,2016-01-01,,Konduga,Auno,11.8482,12.9375
1,Jan,2016-01-01,,,Dalori,11.760566,13.268301
1,Jan,2016-01-01,Diffa,Diffa,Abadam,13.626488,13.251593
1,Jan,2016-01-01,,,Bosso,13.69869,13.30951
1,Jan,2016-01-01,,,Ngadawa,13.445988,12.805408
1,Jan,2016-01-01,,,Ngagam,13.563114,12.858687
1,Jan,2016-01-01,,NGuigmi,Kabalewa,13.985898,12.978144
1,Jan,2016-01-01,Extreme-Nord,Logone-et-Chari,Bodo,12.366613,14.455487
1,Jan,2016-01-01,,,Dabanga,11.917929,14.643056
1,Jan,2016-01-01,,,Logone-et-Chari,12.252183,14.629134
1,Jan,2016-01-01,,,Makari,25.125584,28.888404
1,Jan,2016-01-01,,Mayo-Sava,Ashigashiya,11.128023,13.876205
1,Jan,2016-01-01,,,Bonderi,11.233584,14.013381
1,Jan,2016-01-01,,,Kerawa,11.184174,13.914228
1,Jan,2016-01-01,,,Kolofata,66.972588,84.069066
1,Jan,2016-01-01,,,Limani,11.233056,14.171111
1,Jan,2016-01-01,,,Mora,11.048476,14.147621
1,Jan,2016-01-01,,Mayo-Tsanaga,Gaboua,10.917472,13.98985
1,Jan,2016-01-01,,,Madakar,10.98943,13.867251
1,Jan,2016-01-01,,,Ngacheve,11.00341,13.93863
1,Jan,2016-01-01,Lac,Mamdi,Bol,27,29.366666
1,Jan,2016-01-01,Yobe,Tarmua,Babban Gida,12.1076,11.7539
2,Feb,2016-02-01,Borno,Damboa,Damboa,22.312072,25.515166
