SURVEY ROUND,SITE NAME,STATE,LGA,WARD,LATITUDE,LONGITUDE,SITE MANAGEMENT AGENCY (SMA),SMA TYPE,REGISTRATION ACTIVITY,SUPPORT WASH,SUPPORT HEALTH,SUPPORT SHELTER/NFI,SUPPORT FOOD,SUPPORT PROTECTION,SUPPORT EDUCATION,SUPPORT LIVELIHOOD,SITE CLASSIFICATION,SITE TYPE,LAND OWNERSHIP,COMMON SHELTER TYPE,NO OF HOUSEHOLDS,INFANTS MALE,INFANTS FEMALE,CHILDREN MALE,CHILDREN FEMALE,YOUTH MALE,YOUTH FEMALE,ADULT MALE,ADULT FEMALE,ELDERLY MALE,ELDERLY FEMALE,TOTAL NUMBER OF IDPS,PREVIOUSLY BEEN DISPLACED,INTENDED RETURN AREA,WHY NOT RETURN,NO SHELTER,TENTS,MAKESHIFT,INDOORS,ACCESS ELECTRICITY,ACCESS SAFE COOKING,HAVE PRIVATE AREAS,HAVE MOSQUITO NETS,MOST NEEDED NFI,WATER SOURCE LOCATION,DRINKING WATER SOURCE,WATER CONSUMPTION,DRINKING WATER POTABLE,DRINKING WATER QUALITY COMPLAINTS,LATRINE CONDITION,FUNCTIONING TOILET,GARBAGE DISPOSAL,SOLID WASTE PROBLEM,HAND WASHING STATIONS,HYGIENE PROMOTION CAMPAIGN,OPEN DEFECATION,ACCESS TO FOOD,ACCESS TO MARKET,DISTRIBUTION FREQUENCY,OBTAINING FOOD,MALNUTRITION SCREENING,MOST PREVALENT HEALTH PROBLEM,ACCESS TO MEDICINE,ACCESS TO HEALTH FACILITY,LOCATION HEALTH FACILITY,HEALTH FACILITIES PROVIDER,ACCESS TO EDUCATION,EDUCATION LOCATION,ATTENDING SCHOOL,MAJORITY OCCUPATION,ACCESS TO INCOME,LIVESTOCK,CULTIVATION,SOURCE OF INFORMATION FOR MOST RESIDENTS,MAIN TOPIC IDP'S IS REQUESTING INFORMATION,SERIOUS PROBLEM DUE TO LACK OF INFORMATION
14,NGULO KASUWA,ADAMAWA,DEMSA,BILLE,9.26452,11.89963,No,,No,No,Yes,No,No,Yes,No,No,Host Communities,Host Communities,Ancestral,Self-made tents,1,0,0,0,0,1,2,3,2,0,0,8,Yes,Place of origin,Lack of safety,<25%,<25%,>75%,None,None,<50%,None,<75%,Kitchen sets,Off-site (>10 mn),Hand pumps,5 - 10 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,No,Yes,Families/Friends,Distribution,Yes
14,GEJEMBA,ADAMAWA,DEMSA,BILLE,9.3596,11.9094,No,,No,No,Yes,No,No,Yes,No,Yes,Host Communities,Host Communities,Ancestral,Self-made tents,2,0,1,0,2,1,0,2,2,1,1,10,Yes,Place of origin,Lack of safety,<25%,<25%,<75%,<25%,None,<50%,None,<75%,Kitchen sets,Off-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,No,Yes,On-site (>3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Situation in areas of origin,Yes
14,BORRONG II,ADAMAWA,DEMSA,BORRONG,9.25412,12.08556,No,,No,Yes,Yes,Yes,No,Yes,Yes,No,Host Communities,Host Communities,Ancestral,Host family house,8,3,4,6,8,4,5,6,7,2,3,48,Yes,Place of origin,Lack of safety,<25%,<25%,<75%,<25%,None,<50%,None,<25%,Blankets/Mats,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,No,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,BORONG A,ADAMAWA,DEMSA,BORRONG,9.53755,12.17755,No,,No,Yes,Yes,No,No,Yes,Yes,Yes,Host Communities,Host Communities,Ancestral,Bunk houses,7,1,3,6,4,7,9,4,6,1,1,42,Yes,Place of origin,Lack of safety,<25%,<25%,<75%,<25%,None,<50%,None,<50%,Mosquito nets,On-site (<10 mn),Spring,10 - 15 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,No,Yes,On-site (>3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Situation in areas of origin,Yes
14,K. KWAHAKANDA,ADAMAWA,DEMSA,DEMSA,9.45741,12.22794,No,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Ancestral,Bunk houses,47,20,25,30,20,50,20,55,50,10,6,286,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<25%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,K.KWAHAVOTI,ADAMAWA,DEMSA,DEMSA,9.45789,12.22804,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Private Building,Host family house,69,20,25,60,40,70,90,60,40,4,5,414,Yes,Place of origin,Basic infrastructures damaged/flooded,<25%,<25%,<25%,<75%,None,<25%,<50%,<25%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,K. MGBAKUM,ADAMAWA,DEMSA,DEMSA,9.45692,12.22828,No,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Ancestral,Bunk houses,36,20,30,28,40,31,22,25,20,1,3,220,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<75%,<75%,Kitchen sets,On-site (>10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,Yes,Yes,On-site (>3 km),Government,Yes,Off-site,<75%,Farming,No,Yes,Yes,Families/Friends,Shelter,Yes
14,K. VUDEGBAKUM,ADAMAWA,DEMSA,DEMSA,9.45692,12.22828,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Private Building,Host family house,56,20,14,34,40,60,34,65,50,8,15,340,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Shelter,Yes
14,DEMSA A,ADAMAWA,DEMSA,DEMSA,9.25412,12.08556,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Private Building,Host family house,32,10,14,20,10,30,20,33,37,2,4,180,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<25%,<50%,Mosquito nets,On-site (>10 mn),Hand pumps,<5 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,LOH,ADAMAWA,DEMSA,DILLI,9.50065,12.10514,No,,No,Yes,Yes,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Ancestral,Host family house,2,0,1,2,2,1,1,2,2,0,1,12,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,No,Yes,On-site (>3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
