Date,Country,Admin 1,Admin 2,IDPs,Refugees
#date,#country+name,#adm1,#adm2,#affected+idps,#affected+refugees
2016-02-29,Cameroon,Extreme Nord,,158300,61400
2016-02-29,Chad,Lac,,50100,6252
2016-02-29,Chad,Mayo Kebi,,,818
2016-02-29,Niger ,Diffa,,58926,97744
2016-02-29,Nigeria,ADAMAWA,,131218,
2016-02-29,Nigeria,BORNO,,1434149,
2016-02-29,Nigeria,GOMBE,,24915,
2016-02-29,Nigeria,YOBE,,131203,
2016-03-21,Cameroon,Extreme Nord,,137100,64857
2016-03-21,Chad,Lac,,48176,5800
2016-03-21,Chad,Mayo Kebi,,,818
2016-03-21,Niger ,Diffa,,58926,5800
2016-03-21,Nigeria,ADAMAWA,,130320,
2016-03-21,Nigeria,BORNO,,1525404,
2016-03-21,Nigeria,GOMBE,,26233,
2016-03-21,Nigeria,YOBE,,139550,
2016-04-06,Cameroon,Extreme Nord,,137100,64857
2016-04-06,Chad,Lac,,94389,6220
2016-04-06,Chad,Mayo Kebi,,,818
2016-04-06,Niger ,Diffa,,58926,97744
2016-04-06,Nigeria,ADAMAWA,,130320,
2016-04-06,Nigeria,BORNO,,1525404,
2016-04-06,Nigeria,GOMBE,,26233,
2016-04-06,Nigeria,YOBE,,139550,
2016-05-12,Cameroon,Extreme Nord,,137100,64857
2016-05-12,Chad,Lac,,89300,6220
2016-05-12,Chad,Mayo Kebi,,,818
2016-05-12,Niger ,Diffa,,127208,82524
2016-05-12,Nigeria,ADAMAWA,,130320,
2016-05-12,Nigeria,BORNO,,1525404,
2016-05-12,Nigeria,GOMBE,,26233,
2016-05-12,Nigeria,YOBE,,139550,
2016-06-03,Cameroon,Extreme Nord,Mayo-Tsanaga,23211,56852
2016-06-03,Cameroon,Extreme Nord,Logone-et-Chari,96103,6880
2016-06-03,Cameroon,Extreme Nord,Diamare,3610,
2016-06-03,Cameroon,Extreme Nord,Mayo-Sava,33640,515
2016-06-03,Cameroon,Extreme Nord,Mayo-Danay,385,844
2016-06-03,Cameroon,Extreme Nord,Mayo-Kani,213,12
