#{"source_date": "Unknown", "extract_date": "2017-03-28", "update_frequency": "Every month", "source_key": "HDX", "source_url": "http://data.humdata.org/dataset/004daf8f-2f9e-417a-92ee-9e2187d2da7e/resource/4df83b96-f75f-44eb-9b81-d6b4f26eddb2/download/LCB_SnapShot_DataSets_24Jan17.xlsx---Funding.csv"}
Date/Country,Country,Requirement,Funding
#date,#country+name,#meta+requirement,#meta+funding
2016-02-29,Cameroon,119880723,4783662
2016-02-29,Chad ,85289310,5537345
2016-02-29,Niger,74138650,11281885
2016-02-29,Nigeria,279299527,12176332
2016-03-21,Cameroon,119880723,11126361
2016-03-21,Chad ,85289310,6385169
2016-03-21,Niger,74138650,11281885
2016-03-21,Nigeria,279299527,13937987
2016-04-06,Cameroon,119880723,12086479
2016-04-06,Chad ,85289310,6595065
2016-04-06,Niger,74138650,12177511
2016-04-06,Nigeria,279299527,21390796
2016-07-11,Cameroon,119880723,19624670
2016-07-11,Chad ,85289310,13734392
2016-07-11,Niger,74138650,23101484
2016-07-11,Nigeria,279299527,68845010
2016-08-23,Cameroon,119880723,24348848
2016-08-23,Chad ,82756530,14226305
2016-08-23,Niger,74138650,27591300
2016-08-23,Nigeria,225988518,73544092
2016-09-05,Cameroon,119880723,25123457
2016-09-05,Chad ,88339142,14226305
2016-09-05,Niger,74138650,27788022
2016-09-05,Nigeria,279299527,95804727
2016-10-03,Cameroon,85023404,30507846
2016-10-03,Chad ,98205277,42452935
2016-10-03,Niger,71561559,27924316
2016-10-03,Nigeria,484179598,116221255
2016-10-19,Cameroon,85023404,32039096
2016-10-19,Chad ,98205277,42555742
2016-10-19,Niger,71561559,30756464
2016-10-19,Nigeria,484179598,177236127
2016-11-01,Cameroon,85023404,32880637
2016-11-01,Chad ,98205277,42555742
2016-11-01,Niger,71561559,30756464
2016-11-01,Nigeria,484179598,180564895
2016-12-08,Cameroon,85023404,36088116
2016-12-08,Chad ,98205277,44915176
2016-12-08,Niger,71561559,32492785
2016-12-08,Nigeria,484179598,249376400
2016-12-19,Cameroon,85023404,38531381
2016-12-19,Chad ,98205277,54276412
2016-12-19,Niger,71561559,32652021
2016-12-19,Nigeria,484179598,252494674
2017-01-11,Cameroon,191437412,0
2017-01-11,Chad ,121261684,0
2017-01-11,Niger,139310848,0
2017-01-11,Nigeria,1054431494,0
