Recipient organization,Requirements US$,Funding US$,Pledges US$,Coverage %
ACF - France,12452472,0,0,0
"Action pour la Protection de la Santé, de l'Environnement et la Lutte contre la Pénurie Alimentaire",656584,0,0,0
Agence Humanitaire Africaine,5173254,0,0,0
Agency for Technical Cooperation and Development,5670532,0,0,0
Alliance for International Medical Action,2410706,0,0,0
Association des Jeunes Arc-en-ciel pour la Stabilité Sociale en Afrique,425538,0,0,0
Association des volontaire de lutte anti-mine,251750,0,0,0
CARE International,16156366,0,0,0
Catholic Relief Services,1407851,0,0,0
Centre d'Appui aux Initiatives de Développement Local,316900,0,0,0
Cercle Humanitaire d'Appui aux Initiatives Locales de Développement,1292919,0,0,0
Christian Outreach Relief and Development,1467857,0,0,0
Cooperazione Internazionale - COOPI,5553585,261506,0,4.7
Food & Agriculture Organization of the United Nations,26100600,0,0,0
French Red Cross,1935000,0,0,0
Halt Death Stalker,455640,0,0,0
Handicap International,320000,0,0,0
Help-Tchad,6350000,0,0,0
INTERSOS Humanitarian Aid Organization,572500,0,0,0
Initiative Humanitaire pour le Développement Local,886420,0,0,0
International Aid Services,800000,0,0,0
International Medical Corps UK,417870,0,0,0
International Organization for Migration,8239000,0,0,0
International Rescue Committee,1706381,0,0,0
Office for the Coordination of Humanitarian Affairs,5053721,10672,0,0.2
Oxfam Intermon,33301480,0,0,0
Première Urgence - Aide Médicale Internationale,5629693,0,0,0
Secours Islamique France,1064650,0,0,0
TEARFUND,1351209,0,0,0
United Nations Children's Fund,57274208,0,0,0
United Nations High Commissioner for Refugees,162845308,2124552,0,1.3
United Nations Humanitarian Air Service,15329264,0,0,0
United Nations Population Fund,7231152,0,0,0
World Food Programme,178993698,0,0,0
World Health Organization,12296055,0,0,0
World Vision Chad,7218100,0,0,0
