Recipient organization,Requirements US$,Funding US$,Pledges US$,Coverage %
ACF - France,6574030,0,0,0
ACT Alliance / Lutheran World Federation,782821,0,0,0
AIDER,963300,0,0,0
Action Locale pour un Développement Participatif et Autogéré,1120536,0,0,0
Adventist Development and Relief Agency,1870258,0,0,0
Afrique Solidarité - Suisse,2090845,0,0,0
Agence Humanitaire Africaine,2427702,0,0,0
Alliance for International Medical Action,2213348,0,0,0
Association Gainako Djamou du Sahel,253500,0,0,0
Association d'Assistance au Développement,393717,0,0,0
Association de Lutte contre les Violences faites aux Femmes (Antenne de l'Extrême-Nord),666805,0,0,0
CARE France,500000,0,0,0
CARE International,2014004,0,0,0
CARITAS,539815,0,0,0
Catholic Relief Services,3243048,0,0,0
Centre Optionnel Pour la Promotion et la Régénération Economique et Sociale Secteur Afrique,299100,0,0,0
Défense des Droits de l'Homme et des Consommateurs du Sahel,150000,0,0,0
Equal Access Cameroon,1261461,0,0,0
FAIRMED Foundation,665313,0,0,0
Femme Action et Développement en Centrafrique,1350237,0,0,0
Food & Agriculture Organization of the United Nations,4616736,400298,0,8.699999999999999
French Red Cross,4940210,0,0,0
International Emergency and Development Aid,205790,0,0,0
International Medical Corps,5137331,0,0,0
International Organization for Migration,4577460,450000,0,9.800000000000001
International Rescue Committee,8720699,0,0,0
Office for the Coordination of Humanitarian Affairs,2282573,0,0,0
Plan International,11582169,0,0,0
Première Urgence - Aide Médicale Internationale,7964444,0,0,0
Respect Cameroon,903447,0,0,0
Solidarités International,7451050,0,0,0
Solidarités d'Afrique,4209293,0,0,0
UN Agencies,0,4097691,0,0
UN Women,4500000,0,0,0
United Nations Children's Fund,20931205,850990,0,4.1
United Nations Department of Safety and Security,1131838,0,0,0
United Nations Development Programme,5590284,0,0,0
United Nations High Commissioner for Refugees,87838163,4066546,0,4.6
United Nations Joint Programme on HIV/AIDS,510000,0,0,0
United Nations Mine Action Service,300000,0,0,0
United Nations Population Fund,2118450,450810,0,21.3
World Food Programme,91996923,39746544,0,43.2
World Health Organization,2755307,1000183,0,36.3
