Recipient organization,Requirements US$,Funding US$,Pledges US$,Coverage %
ACF - Spain,14737362,0,0,0
Action pour le Développement du Sahel,629000,0,0,0
Adventist Development and Relief Agency,268773,0,0,0
Agency for Technical Cooperation and Development,1400000,1378579,0,98.5
CARE International,1292651,0,0,0
Comitato Internationale per lo Sviluppo dei Popoli,730000,0,0,0
Concern Worldwide,2536296,0,0,0
Cooperazione Internazionale - COOPI,1775552,0,0,0
Deutsche Welthungerhilfe e.V. (German Agro Action),2200000,0,0,0
Food & Agriculture Organization of the United Nations,5488000,2500000,0,45.6
GOAL,2830994,0,0,0
Helen Keller International,1106326,0,0,0
Help - Hilfe zur Selbsthilfe e.V.,800000,0,0,0
International Aid Services,550000,0,0,0
International Emergency and Development Aid,1050000,0,0,0
International Organization for Migration,5364928,1000001,0,18.6
International Rescue Committee,3416926,800427,0,23.4
Luxembourg Red Cross,569181,0,0,0
"Movimiento por la Paz, el Desarme y la Libertad",250000,0,0,0
OXFAM,2367199,0,0,0
Office for the Coordination of Humanitarian Affairs,3521248,0,0,0
Plan Niger,2495932,0,0,0
Qatar Red Crescent Society,1634787,0,0,0
SOS Children's Villages,167139,0,0,0
Samaritan's Purse,5110689,0,0,0
Save the Children,11902972,0,0,0
TEARFUND,2634175,0,0,0
UN Agencies,0,0,0,0
UN Women,2700000,0,0,0
United Nations Children's Fund,29096631,2478397,0,8.5
United Nations High Commissioner for Refugees,31329558,4458974,0,14.2
United Nations Population Fund,2594780,1000453,0,38.6
World Food Programme,118464418,72656198,0,61.3
World Health Organization,4268979,507002,0,11.9
World Vision Niger,6062500,0,0,0
