Donor organization,Funding US$,Pledges US$
Central Emergency Response Fund,22000000,0
"Denmark, Government of",142653,0
European Commission's Humanitarian Aid and Civil Protection Department,2916224,0
"Germany, Government of",1020408,0
"Japan, Government of",1903000,0
"Malta, Government of",10672,0
Not specified,9134,0
"Sweden, Government of",1161116,0
"Switzerland, Government of",4426614,0
UNICEF National Committee/Canada,91559,0
UNICEF National Committee/Germany,106724,0
"United Kingdom, Government of",1255154,0
"United States of America, Government of",22700048,0
World Food Programme,3579971,0
